"","Country","Year","gini","Eu_2004","Eu_2014","Educbasic","workagepop","R&D","FDIinflows"
"262","LUX","2008",0.993876179996395,"0","1",37.716,332215,"1.54663002490997",12.0948257098387
"263","LUX","2007",0.994261168212646,"0","1",39.028,325327,"1.57165002822876",-57.5323140832332
"264","LUX","2006",0.994261770233439,"0","1",37.096,319544,"1.64885997772217",75.0860517189658
"265","LUX","2005",0.993709457289694,"0","1",44.023,313765,"1.55873000621796",12.3294089671016
"266","LUX","2004",0.993166326152474,"0","1",43.487,308560,"1.58818995952606",14.7716141818772
"267","LUX","2003",0.993338813552535,"0","1",44.495,303795,"1.62349998950958",14.464107875724
"268","LUX","2002",0.993351838108834,"0","1",45.113,299792,"..",17.9416670929726
"269","LUX","2001",0.993509348747141,"0","1",44.861,296798,"..",NA
"270","LUX","2000",0.993624752510447,"0","1",46.366,292777,"1.58314001560211",NA
"271","LVA","2014",0.989870073599748,"1","1",36.677,1306712,"0.689079999923706",3.32975610261153
"272","LVA","2013",0.989548206900776,"1","1",35.747,1329552,"0.613210022449493",3.27525565812789
"273","LVA","2012",0.98950422957167,"1","1",35.745,1353903,"0.663070023059845",3.83664423775721
"274","LVA","2011",0.989715468424536,"1","1",34.354,1378949,"0.71561998128891",5.53067572457445
"275","LVA","2010",0.989580489005317,"1","1",34.358,1409997,"0.605710029602051",1.98271981067991
"276","LVA","2009",0.989801564775229,"1","1",35.967,1443882,"0.448579996824265",-0.568030990235418
"277","LVA","2008",0.989847513033724,"1","1",36.865,1472303,"0.577199995517731",4.00028668556069
"278","LVA","2007",0.989936082532736,"1","1",37.051,1490919,"0.551069974899292",8.73762476647532
"279","LVA","2006",0.990618578835709,"1","1",36.155,1504617,"0.646910011768341",7.90756297931773
"280","LVA","2005",0.990217112695604,"1","1",32.776,1518903,"0.527069985866547",4.76289166404821
"281","LVA","2004",0.990598703403173,"1","1",33.431,1534937,"0.398400008678436",4.09810365195433
"282","LVA","2003",0.990600830791416,"1","1",34.039,1551058,"0.35929998755455",2.68988145299238
"283","LVA","2002",0.990481046389628,"1","1",34.367,1563590,"0.408430010080338",1.67510905867537
"284","LVA","2001",0.990244253696821,"1","1",36.625,1576847,"0.402630001306534",2.07477210805633
"285","LVA","2000",0.990301199048853,"1","1",29.961,1591657,"0.434830009937286",4.07326110975041
"286","MLT","2014",0.994448927714169,"0","1",46.39,295047,"0.691789984703064",1.34079436666301
"287","MLT","2013",0.994598395902533,"0","1",45.864,289921,"0.743359982967377",4.83419864443896
"288","MLT","2012",0.994517104223943,"0","1",44.901,286808,"0.804319977760315",35.1265947552887
